"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"55",0.8,0,1.8,0.6,0,0,0.6,1.2,0.6,1.2,0.6,0,0.6,2.4,1.8,1.8,2.4,1.8,1.8,1.8,1.8,2.4,1.2,1.2,1.2,0.6,0.6,0.6,0.6,1.2,2.4,1.8,1.8,1.2,1.2,1.2,0.6,1.2,1.8,1.8,1.2,1.8,1.2,1.2,0,0.6,1.8,1.8,1.8,1.8
"56",1.8,0,1.8,0.6,0,0,0.6,1.2,-0.4,0.2,-0.4,0,0.6,1.4,0.8,0.8,1.4,0.8,0.8,0.8,0.8,1.4,1.2,1.2,1.2,0.6,0.6,0.6,0.6,0.2,1.4,0.8,0.8,0.2,0.2,0.2,-0.4,0.2,0.8,0.8,0.2,0.8,0.2,1.2,0,0.6,0.8,0.8,0.8,0.8
"57",1.8,0,0.8,-0.4,0,0,0.6,0.2,0.6,1.2,0.6,0,0.6,1.4,0.8,0.8,1.4,0.8,0.8,1.8,0.8,1.4,0.2,0.2,1.2,0.6,0.6,0.6,0.6,0.2,1.4,0.8,1.8,0.2,1.2,1.2,0.6,1.2,1.8,1.8,1.2,1.8,1.2,1.2,0,0.6,0.8,0.8,1.8,0.8
"58",1.8,0,1.8,0.6,0,0,0.6,1.2,0.6,1.2,0.6,0,0.6,2.4,1.8,1.8,2.4,1.8,1.8,1.8,1.8,2.4,1.2,1.2,1.2,0.6,0.6,0.6,0.6,1.2,2.4,1.8,1.8,1.2,1.2,1.2,0.6,1.2,1.8,0.8,1.2,1.8,1.2,1.2,0,0.6,1.8,1.8,1.8,1.8
"59",0.8,0,0.8,0.6,0,0,0.6,0.2,0.6,1.2,0.6,0,0.6,1.4,1.8,1.8,1.4,1.8,1.8,0.8,1.8,1.4,1.2,1.2,0.2,0.6,0.6,0.6,0.6,1.2,1.4,1.8,0.8,1.2,0.2,1.2,0.6,1.2,0.8,1.8,1.2,0.8,1.2,0.2,0,-0.4,1.8,1.8,0.8,1.8
"60",0.8,0,0.8,0.6,0,0,-0.4,1.2,0.6,0.2,0.6,0,-0.4,1.4,0.8,0.8,1.4,0.8,0.8,0.8,0.8,1.4,0.2,0.2,0.2,-0.4,-0.4,-0.4,-0.4,1.2,1.4,0.8,0.8,1.2,1.2,0.2,0.6,0.2,0.8,0.8,0.2,0.8,0.2,0.2,0,0.6,0.8,0.8,0.8,0.8
"61",1.4,2,2,1.4,0.6,0.6,1.2,1.8,1.8,0.2,0.6,0,0.6,1.8,1.8,1.8,0.6,1.2,0.8,1.4,1.2,2,0.8,2.4,2.4,0.8,0.2,2.4,0.6,1.2,0.6,2.4,1.8,0.8,0.2,0.6,1.8,1.2,0.6,1.8,0.6,0.6,1.8,1.8,1.2,0.6,1.2,1.2,2.4,0.6
"62",2.4,2,2,2.4,0.6,-0.4,1.2,0.8,1.8,1.2,0.6,0,0.6,0.8,1.8,0.8,0.6,1.2,1.8,1.4,1.2,3,1.8,1.4,1.4,1.8,1.2,1.4,0.6,1.2,0.6,1.4,1.8,1.8,1.2,0.6,0.8,1.2,0.6,0.8,0.6,0.6,0.8,0.8,1.2,0.6,0.2,1.2,1.4,0.6
"63",2.4,3,2,1.4,0.6,0.6,0.2,1.8,1.8,1.2,0.6,0,0.6,1.8,1.8,1.8,0.6,0.2,1.8,2.4,1.2,2,1.8,2.4,2.4,0.8,1.2,1.4,0.6,0.2,0.6,2.4,1.8,1.8,1.2,-0.4,1.8,1.2,0.6,1.8,0.6,0.6,1.8,1.8,1.2,0.6,1.2,1.2,1.4,0.6
"64",1.4,2,3,2.4,-0.4,0.6,1.2,0.8,0.8,1.2,-0.4,0,-0.4,1.8,0.8,0.8,0.6,0.2,0.8,1.4,1.2,2,1.8,1.4,1.4,1.8,0.2,1.4,0.6,0.2,-0.4,1.4,0.8,1.8,1.2,0.6,0.8,1.2,-0.4,0.8,0.6,-0.4,0.8,0.8,1.2,0.6,1.2,0.2,1.4,0.6
"65",1.4,2,2,1.4,0.6,0.6,1.2,0.8,0.8,0.2,0.6,0,0.6,0.8,0.8,0.8,-0.4,1.2,0.8,1.4,0.2,2,0.8,1.4,1.4,0.8,1.2,1.4,-0.4,1.2,0.6,1.4,0.8,0.8,0.2,0.6,0.8,0.2,0.6,0.8,-0.4,0.6,0.8,0.8,0.2,-0.4,1.2,0.2,1.4,-0.4
"66",1.4,2,2,1.4,0.6,0.6,0.2,1.8,0.8,1.2,0.6,0,0.6,0.8,0.8,1.8,0.6,1.2,1.8,2.4,0.2,2,0.8,1.4,1.4,1.8,1.2,2.4,0.6,1.2,0.6,1.4,0.8,0.8,1.2,0.6,1.8,0.2,0.6,1.8,0.6,0.6,1.8,1.8,0.2,0.6,0.2,1.2,2.4,0.6
"67",1.4,0.8,0.8,1.8,0.8,1.2,0.6,0,0.6,0,0,0.2,0.2,0.8,0.2,0.6,0,0,0,0.6,0.2,0.8,0.8,0.2,0,0,0,0.6,0.6,0,0,0,0,0,0,1.2,0.8,0.8,0.8,0.8,0.8,0.8,1.2,0,0,0,0,0,0,0.6
"68",1.4,1.8,0.8,0.8,0.8,0.2,-0.4,0,0.6,0,0,1.2,1.2,0.8,1.2,0.6,0,0,0,0.6,1.2,0.8,0.8,1.2,0,0,0,-0.4,0.6,0,0,0,0,0,0,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0,0,0,0,0,0,-0.4
"69",1.4,0.8,1.8,0.8,0.8,0.2,0.6,0,-0.4,0,0,0.2,0.2,0.8,0.2,-0.4,0,0,0,-0.4,0.2,0.8,0.8,0.2,0,0,0,0.6,-0.4,0,0,0,0,0,0,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0,0,0,0,0,0,0.6
"70",2.4,1.8,1.8,1.8,1.8,1.2,0.6,0,0.6,0,0,1.2,1.2,1.8,1.2,0.6,0,0,0,0.6,1.2,1.8,1.8,1.2,0,0,0,0.6,0.6,0,0,0,0,0,0,1.2,1.8,1.8,1.8,1.8,1.8,1.8,1.2,0,0,0,0,0,0,0.6
"71",1.4,0.8,0.8,0.8,1.8,1.2,0.6,0,0.6,0,0,1.2,1.2,1.8,1.2,0.6,0,0,0,0.6,1.2,1.8,1.8,1.2,0,0,0,0.6,0.6,0,0,0,0,0,0,1.2,1.8,1.8,1.8,1.8,1.8,1.8,1.2,0,0,0,0,0,0,0.6
"72",2.4,1.8,1.8,1.8,1.8,1.2,0.6,0,0.6,0,0,1.2,1.2,1.8,1.2,0.6,0,0,0,0.6,1.2,1.8,1.8,1.2,0,0,0,0.6,0.6,0,0,0,0,0,0,1.2,1.8,1.8,1.8,1.8,1.8,1.8,1.2,0,0,0,0,0,0,0.6
