"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"34",0.21,2,1.16,1.34,1.4,1.16,-0.58,0.35,2,0.8,1.4,1.4,0.44,0.8,0.8,-0.16,-0.49,-0.12,0.8,-0.4,0.44,0.8,0.2,0.8,1.33,0.2,0.54,0.2,-0.7,-0.4,-0.55,0.8,0.2,0.6,0.8,-0.79,-0.06,1.2,0.47,1.4,-0.76,1.8,1.2,1.2,0.2,0.17,-0.82,1.8,2,-0.82
"35",1.88,2,1.63,1.7,1.4,1.14,-0.81,1.4,2,0.8,1.4,1.4,0.01,0.8,0.8,-0.28,0.44,1.16,0.8,0.6,1.44,0.8,0.2,1.8,1.44,0.2,0.72,1.2,-0.56,0.6,0.44,0.8,1.2,-0.4,0.8,0.44,-0.28,0.2,-0.28,1.4,1.88,0.8,1.2,0.2,1.2,-0.1,1.16,1.8,2,1.16
"36",1.88,2,1.16,-0.52,1.4,2.16,0.9,2.4,2,1.8,1.4,1.4,1.44,1.8,1.8,0.72,1.44,2.16,1.8,0.6,1.44,1.8,1.2,0.8,0.44,1.2,0.72,1.2,1.8,0.6,1.44,1.8,1.2,0.6,1.8,1.44,0.72,1.2,0.72,2.4,1.88,1.8,1.2,1.2,1.2,0.9,2.16,0.8,2,2.16
"37",1.88,1.16,0.72,0.19,-0.1,0.72,0,1.8,-0.8,0.6,0,1.8,1.36,2.7,1.11,1.8,0,1.44,0.11,0,1.2,0.9,-0.07,1.44,0.81,0,1.2,-0.49,0.8,0,1.2,0,1.2,1.2,1.2,1.8,1.2,0,1.44,0.2,0,0,0,0.31,0.6,-0.87,-0.67,-0.2,1.04,0.13
"38",1.88,0.32,0.72,1.8,0.9,0.72,0,1.8,0.44,0.6,0.06,1.8,1.25,1.24,1.2,1.8,1.55,-0.08,1.8,0,0.08,0.1,0,1.44,1.44,0.61,1.2,0.58,1.44,0,1.2,1.22,1.2,0.61,1.2,-0.74,1.2,0,1.44,1.2,0,0,0,-0.84,0.6,0.94,1.44,0,0,0.9
"39",1.88,2.16,-0.28,1.8,-0.67,0.72,0.59,0.8,1.44,0.6,1.71,0.8,0,1.7,1.2,0.61,0,0.44,0.8,0,1.34,-0.1,0,0.44,0.44,-0.32,0.2,0.14,0.44,0,0.2,0.17,0.2,0.6,0.2,0.8,0.2,0,0.44,1.2,0,0,0,1.8,-0.4,0.9,0.44,0,0,0.9
"40",1.88,1.16,0.56,1.6,-0.17,-0.28,0,0.8,1.44,-0.4,0,1.8,0,1.7,0.2,1.7,0,1.44,-0.34,0,1.2,0.9,0,1.44,1.44,0,1.2,1.8,1.44,0,1.2,0,0.2,1.2,1.2,1.8,1.2,0,1.44,1.2,0,0,0,0.8,0.6,0.9,1.44,0,0,0.9
"41",1.49,1.16,0.72,0.8,0.9,-0.65,0,0.8,0.44,0.6,0.45,0.8,0,1.7,-0.12,0.8,0,0.44,0.8,0,0.27,0.9,0.05,0.44,0.44,-0.68,0.2,0.8,0.44,0,1.2,0,1.2,0.2,0.2,0.8,0.2,0,-0.12,0.2,0,1.41,0,0.94,0.6,-0.1,1.44,0,0.77,-0.1
"42",2.88,2.16,0.72,0.8,0.9,0.72,1.09,1.8,1.44,0.6,0,0.8,-0.21,-0.3,-0.42,0.8,0,1.44,1.8,0,0.2,-0.14,0.53,-0.84,1.44,0,1.2,0.47,1.44,0,0.2,1.62,1.2,0.33,1.2,-0.33,1.2,-0.81,0.44,1.2,0,0,-0.7,0.79,0.6,0.9,0.44,1,0,0.05
"43",0.8,1.44,-0.1,1.8,-0.28,0.8,1.2,0.8,-0.28,0.44,0.6,1.44,0.8,0.6,0.44,0.72,1.13,1.88,0.8,0.72,0.69,0.44,0,0.2,0.89,0.72,0.29,0.6,0.41,0.44,1.2,-0.43,1.16,0.8,0,0.65,1.44,0.72,0.98,0.2,1.2,1.31,-0.71,1.44,1.69,0.39,0.72,-0.23,1.44,0
